Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCases,TotalCasesPM,DeathsPM,TotalTests,TestsPM,Population
Switzerland,"373,831","5,136","5,888",64,"288,400","79,543",451,"43,055",678,"3,019,837","347,799","8,682,709"
Saudi Arabia,"359,583",168,"6,023",11,"350,108","3,452",526,"10,258",172,"10,316,632","294,318","35,052,696"
Israel,"353,269",872,"2,969",8,"333,900","16,400",322,"38,409",323,"5,605,071","609,406","9,197,590"
Portugal,"340,287","5,080","5,373",95,"263,648","71,266",507,"33,416",528,"4,899,189","481,095","10,183,403"
Sweden,"320,098",0,"7,514",18,N/A,N/A,252,"31,608",742,"3,718,476","367,176","10,127,237"
Austria,"316,581","2,893","4,289",126,"273,503","38,789",572,"35,062",475,"3,355,391","371,614","9,029,235"
Hungary,"271,200","6,197","6,622",171,"78,700","185,878",610,"28,105",686,"2,245,483","232,708","9,649,376"
Serbia,"255,758","6,534","2,227",55,"31,536","221,995",319,"29,325",255,"2,000,098","229,327","8,721,606"
Jordan,"255,459","2,338","3,286",36,"209,746","42,427",366,"24,928",321,"2,797,026","272,934","10,247,981"
Nepal,"246,694","1,044","1,674",11,"232,872","12,148",0,"8,400",57,"1,820,618","61,995","29,367,131"
Ecuador,"200,765",386,"13,858",8,"174,188","12,719",337,"11,304",780,"684,488","38,539","17,761,108"
Panama,"185,424",0,"3,287",0,"157,888","24,249",173,"42,678",757,"1,020,898","234,976","4,344,682"
Georgia,"183,099","4,146","1,694",37,"150,461","30,944",0,"45,938",425,"1,667,615","418,395","3,985,743"
UAE,"182,601","1,196",607,5,"162,435","19,559",0,"18,364",61,"18,118,955","1,822,244","9,943,209"
Bulgaria,"174,568",0,"5,405",0,"75,232","93,931",542,"25,209",781,"1,049,830","151,601","6,924,950"
Japan,"171,542","2,969","2,502",37,"145,014","24,026",554,"1,358",20,"3,945,830","31,241","126,303,155"
Croatia,"168,388","4,396","2,484",64,"140,898","25,006",304,"41,131",607,"861,401","210,410","4,093,907"
Azerbaijan,"167,155","4,381","1,840",47,"103,550","61,765",0,"16,420",181,"1,918,866","188,500","10,179,673"
Belarus,"156,359","1,967","1,246",8,"133,930","21,183",0,"16,550",132,"3,548,306","375,564","9,447,935"
Dominican Republic,"152,452",731,"2,359",1,"118,877","31,216",231,"13,991",217,"778,887","71,483","10,896,070"
Costa Rica,"149,815",0,"1,882",0,"109,855","38,078",238,"29,291",368,"427,104","83,505","5,114,728"
Bolivia,"146,385",325,"9,008",4,"125,716","11,661",71,"12,465",767,"374,235","31,868","11,743,285"
